listing_id,price,zone,avg_sharpness,avg_brightness,avg_resolution,avg_filesize_kb,price_q
109014894,2800,Periferia Norte,1149.4736333361377,198.37598240980248,1144035.0,90.558984375,Premium
109077193,2200,Salamanca-Retiro,329.85788060540597,177.10820817612304,1146195.0,109.8763671875,Mid-High
109091678,1400,Sur-Sureste,915.3993222640274,163.0031509660809,1290020.0,168.69521484375,Low-Mid
109100598,1500,Centro,455.433421772643,125.63014881407717,1502255.5555555555,96.82194010416667,Low-Mid
109104252,5000,Norte,264.59756525175516,147.2970529363783,1146195.0,79.761328125,Premium
109125951,1350,Norte,296.77874938828717,119.69427103802964,1783715.0,182.71318359375,Budget
109145349,1450,Sur-Sureste,94.44225595407985,126.78239975815293,2172333.3333333335,136.40310329861111,Low-Mid
109163585,980,Periferia Norte,273.8579261766632,146.35258179579773,1551980.0,106.77890625,Budget
109166889,1100,Arganzuela,212.09198350057795,150.59768521622172,1289480.0,107.74072265625,Budget
109168530,4500,Salamanca-Retiro,684.6168461732221,128.66718395335096,1289480.0,157.61796875,Premium
109178959,3500,Centro,561.3884578176533,181.18531984526214,1713940.0,161.4044921875,Premium
109184407,1990,Centro,369.2616268334831,145.21124930349404,2094230.0,182.24853515625,Mid-High
109188148,1800,Periferia Norte,1346.029730801086,148.92741620116297,1786460.0,236.9943359375,Low-Mid
109198102,2530,Norte,630.9872180083756,116.68181240306049,1146195.0,132.280078125,Mid-High
109201150,1800,Centro,319.129758914631,135.48303707535345,2250230.0,168.21044921875,Low-Mid
109215979,2800,Chamberí,219.72213712593194,156.73641459739082,1146195.0,105.46865234375,Premium
109220092,1100,Sur-Sureste,466.8130573727809,171.73902743402323,1333695.0,119.07568359375,Budget
109222525,1350,Sur-Sureste,546.8167413555518,161.51946719832517,1334295.0,138.9283203125,Budget
109229037,1300,Chamberí,217.63747775622247,133.11035640915716,1289480.0,120.8638671875,Budget
109235255,2650,Norte,750.5840806233525,184.74834737549537,1146195.0,140.516796875,Mid-High
109242812,2750,Centro,767.0535696338989,177.9437687614324,1145295.0,126.99384765625,Premium
109249984,1595,Salamanca-Retiro,192.0894185639047,111.12226454747834,1966730.0,149.30654296875,Low-Mid
109253148,13995,Oeste,711.0517056882086,162.97858011482822,1143400.0,169.35546875,Premium
109277679,2500,Arganzuela,321.016237254368,125.9090749287172,2250230.0,224.54990234375,Mid-High
109309490,1665,Centro,672.6871729249649,127.58577605550883,1146195.0,132.75634765625,Low-Mid
109311948,2090,Periferia Norte,461.1357011069143,125.28692817263509,2250230.0,222.662890625,Mid-High
109312873,2090,Periferia Norte,736.2935711828397,135.27574088841817,2250230.0,245.98759765625,Mid-High
109329801,1386,Salamanca-Retiro,498.53463401330265,162.2233320296246,1511595.0,135.5490234375,Low-Mid
109357756,1100,Centro,1087.2415386372913,116.64923537774771,1289480.0,180.98623046875,Budget
109384228,5500,Periferia Norte,448.5716944475742,115.38927928153389,1842795.0,160.39599609375,Premium
109389779,1800,Periferia Norte,120.34403254678492,129.52574349407828,1167645.0,83.9169921875,Low-Mid
109409137,4900,Centro,365.6708528655526,163.79380383566567,1148500.0,92.37626953125,Premium
109410650,4950,Periferia Norte,602.7917314668124,157.15631665784832,1146195.0,134.38486328125,Premium
109428169,1960,Salamanca-Retiro,1004.5604309679604,158.6111282812014,1146195.0,145.5767578125,Mid-High
109438116,2800,Centro,561.060316708619,128.4457898403943,2250230.0,207.85029296875,Premium
109438177,1150,Chamberí,588.3999854239258,145.47682956409275,1915340.0,233.84150390625,Budget
109439423,8500,Salamanca-Retiro,677.2588321020307,190.77321410701836,1521195.0,151.134765625,Premium
109446118,1250,Chamberí,196.27755931526127,125.7939673822978,2094975.0,221.1830078125,Budget
109454997,1350,Norte,445.7945887572043,132.03729954641204,1289480.0,113.00048828125,Budget
109461315,1800,Norte,308.2081335226017,158.95246125298675,2095815.0,177.8427734375,Low-Mid
109464125,2995,Periferia Norte,822.8997292805883,168.606256796982,1572980.0,188.84375,Premium
109466574,2100,Chamberí,1069.1431106349476,136.3833985653368,1578980.0,203.55517578125,Mid-High
109504276,2000,Arganzuela,489.74163830886954,152.53856056500203,1142265.0,112.096484375,Mid-High
109518685,2000,Centro,303.2986687027686,169.928707945928,1333695.0,94.5466796875,Mid-High
109522322,3100,Salamanca-Retiro,367.46053020677675,125.66177668344567,1551980.0,151.40263671875,Premium
109536155,790,Sur-Sureste,364.50021616801644,151.3794554424232,1064710.0,98.51015625,Budget
109548851,1700,Centro,345.8174128625308,126.09531742948437,2197880.0,205.89609375,Low-Mid
109569035,4200,Salamanca-Retiro,490.54821968500147,169.9732403961847,1148500.0,111.59560546875,Premium
109576634,2400,Salamanca-Retiro,595.1855910396856,129.65751030911824,1420730.0,124.24453125,Mid-High
109591754,3800,Periferia Norte,632.8815747992546,182.27358503941034,1945730.0,190.36982421875,Premium
109598949,1090,Norte,274.2850734547253,152.50387676755344,1224370.0,100.61171875,Budget
109628291,2400,Salamanca-Retiro,125.03148558601728,178.75482295179478,1146195.0,81.60576171875,Mid-High
109648069,5000,Salamanca-Retiro,356.95412154420626,174.1657781981251,1148500.0,95.4427734375,Premium
109652316,4400,Centro,316.373401564818,155.2836533193277,1146195.0,104.276171875,Premium
109657977,1500,Centro,739.4412192784215,134.61106068899133,1289480.0,194.772265625,Low-Mid
109661482,3000,Salamanca-Retiro,999.7698244814301,190.6118627840214,1289480.0,148.26689453125,Premium
109665118,2950,Norte,855.796440174412,152.26464404166668,2250230.0,320.97861328125,Premium
109666862,12000,Chamberí,266.68761406177657,177.39391721912472,1292835.0,103.7806640625,Premium
109695464,9000,Salamanca-Retiro,212.34502920233618,169.95442428531973,1289480.0,100.05595703125,Premium
109730211,2100,Oeste,441.9150916934873,173.68801943123054,1146110.0,103.43779296875,Mid-High
109746529,2250,Periferia Norte,541.0225356257333,175.21973547637572,1227445.0,164.90361328125,Mid-High
109747030,2090,Salamanca-Retiro,459.3413014907204,179.9750911553246,1146110.0,129.76142578125,Mid-High
109748293,1250,Centro,632.7647078520856,195.6430915487212,1228525.0,118.170703125,Budget
109760102,1650,Chamberí,286.2623694547572,130.02399500008877,1289480.0,130.43515625,Low-Mid
109773222,3500,Centro,684.0438013087665,163.40027681292742,1401370.0,145.664453125,Premium
109775504,1600,Centro,272.29686852499975,185.3569580575556,1146110.0,90.001953125,Low-Mid
109775779,3300,Salamanca-Retiro,1279.0339772492205,161.72301302058003,1520360.0,230.6927734375,Premium
109775862,2190,Centro,892.4153113060927,185.856801493262,1146110.0,167.00654296875,Mid-High
109775874,1650,Periferia Norte,406.7457632249028,167.47099151999961,1147245.0,101.2119140625,Low-Mid
109776074,990,Sur-Sureste,215.23115339421756,188.5324576165454,1146110.0,83.9115234375,Budget
109777399,2200,Salamanca-Retiro,385.04485258291874,173.5049445909329,1227625.0,122.92763671875,Mid-High
109778166,4000,Oeste,474.6574976506414,119.76250456182925,1289480.0,133.626171875,Premium
109789944,2215,Centro,166.75917453541177,148.69233729241245,1117225.0,79.12431640625,Mid-High
109789972,1290,Centro,604.9139560650503,175.21439109939845,1145960.0,158.0376953125,Budget
109792305,2500,Oeste,473.758293127849,143.71344424052765,1551980.0,144.683203125,Mid-High
